"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3934","Неуспешная авторизация с некорректным паролем","ui","Wed Dec 18 09:56:55 GMT 2024","passed","Wed Dec 18 09:56:59 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","292","Попытка авторизации с username вместо email-a (400)","api","Wed Dec 18 09:57:32 GMT 2024","passed","Wed Dec 18 09:57:32 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","901","Попытка авторизации с неверным паролем (400)","api","Wed Dec 18 09:57:31 GMT 2024","passed","Wed Dec 18 09:57:32 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","350","Попытка авторизации с неверным email (400)","api","Wed Dec 18 09:57:30 GMT 2024","passed","Wed Dec 18 09:57:31 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","4271","Пользователь может добавить желание только с названием","ui","Wed Dec 18 09:57:21 GMT 2024","passed","Wed Dec 18 09:57:25 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","7355","Пользователь может добавить желание","ui","Wed Dec 18 09:57:14 GMT 2024","passed","Wed Dec 18 09:57:21 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","2796","Редирект со страницы ""Мои желания""","ui","Wed Dec 18 09:57:11 GMT 2024","passed","Wed Dec 18 09:57:14 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","3860","Неуспешная авторизация с некорректной почтой","ui","Wed Dec 18 09:56:59 GMT 2024","passed","Wed Dec 18 09:57:03 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","241","Попытка авторизации без payload с credentials (400)","api","Wed Dec 18 09:57:32 GMT 2024","passed","Wed Dec 18 09:57:32 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","3650","Переход по кнопке ""Войти""","ui","Wed Dec 18 09:57:07 GMT 2024","passed","Wed Dec 18 09:57:11 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","3139","Нельзя добавить желание без названия","ui","Wed Dec 18 09:57:25 GMT 2024","passed","Wed Dec 18 09:57:29 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","1041","Успешная авторизация с валидными credentials (201)","api","Wed Dec 18 09:57:29 GMT 2024","passed","Wed Dec 18 09:57:30 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","5233","Авторизация с валидными почтой и паролем","ui","Wed Dec 18 09:56:50 GMT 2024","passed","Wed Dec 18 09:56:55 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
