"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3077","Нельзя добавить желание без названия","ui","Tue Dec 17 21:00:44 GMT 2024","passed","Tue Dec 17 21:00:47 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","4833","Неуспешная авторизация с некорректным паролем","ui","Tue Dec 17 21:00:20 GMT 2024","passed","Tue Dec 17 21:00:25 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","3932","Пользователь может добавить желание только с названием","ui","Tue Dec 17 21:00:40 GMT 2024","passed","Tue Dec 17 21:00:44 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","3331","Редирект со страницы ""Мои желания""","ui","Tue Dec 17 21:00:32 GMT 2024","passed","Tue Dec 17 21:00:35 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","3668","Неуспешная авторизация с некорректной почтой","ui","Tue Dec 17 21:00:25 GMT 2024","passed","Tue Dec 17 21:00:28 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","872","Введен неверный пароль (400)","api","Tue Dec 17 21:00:49 GMT 2024","passed","Tue Dec 17 21:00:50 GMT 2024","/auth/login","api/login.spec.js","",""
"","272","Введен username вместо email-a (400)","api","Tue Dec 17 21:00:50 GMT 2024","passed","Tue Dec 17 21:00:50 GMT 2024","/auth/login","api/login.spec.js","",""
"","297","Введен неверный email (400)","api","Tue Dec 17 21:00:49 GMT 2024","passed","Tue Dec 17 21:00:49 GMT 2024","/auth/login","api/login.spec.js","",""
"","4835","Пользователь может добавить желание","ui","Tue Dec 17 21:00:35 GMT 2024","passed","Tue Dec 17 21:00:40 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","983","Успешный логин (201)","api","Tue Dec 17 21:00:48 GMT 2024","passed","Tue Dec 17 21:00:49 GMT 2024","/auth/login","api/login.spec.js","",""
"","3419","Переход по кнопке ""Войти""","ui","Tue Dec 17 21:00:28 GMT 2024","passed","Tue Dec 17 21:00:32 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","221","Отсутствует payload с credentials (400)","api","Tue Dec 17 21:00:50 GMT 2024","passed","Tue Dec 17 21:00:50 GMT 2024","/auth/login","api/login.spec.js","",""
"","5273","Авторизация с валидными почтой и паролем","ui","Tue Dec 17 21:00:14 GMT 2024","passed","Tue Dec 17 21:00:20 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
