"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","952","Успешная авторизация с валидными credentials (201)","api","Wed Dec 18 10:28:55 GMT 2024","passed","Wed Dec 18 10:28:56 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","197","Попытка авторизации без payload с credentials (400)","api","Wed Dec 18 10:28:57 GMT 2024","passed","Wed Dec 18 10:28:57 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","4531","Неуспешная авторизация с некорректным паролем","ui","Wed Dec 18 10:28:29 GMT 2024","passed","Wed Dec 18 10:28:34 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","3188","Неуспешная авторизация с некорректной почтой","ui","Wed Dec 18 10:28:34 GMT 2024","passed","Wed Dec 18 10:28:37 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","3546","Авторизация с валидными почтой и паролем","ui","Wed Dec 18 10:28:26 GMT 2024","passed","Wed Dec 18 10:28:29 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","5998","Пользователь может добавить желание","ui","Wed Dec 18 10:28:42 GMT 2024","passed","Wed Dec 18 10:28:48 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","3295","Пользователь может добавить желание только с названием","ui","Wed Dec 18 10:28:48 GMT 2024","passed","Wed Dec 18 10:28:52 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","260","Попытка авторизации с неверным email (400)","api","Wed Dec 18 10:28:56 GMT 2024","passed","Wed Dec 18 10:28:56 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","2538","Редирект со страницы ""Мои желания""","ui","Wed Dec 18 10:28:40 GMT 2024","passed","Wed Dec 18 10:28:42 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","208","Попытка авторизации с username вместо email-a (400)","api","Wed Dec 18 10:28:57 GMT 2024","passed","Wed Dec 18 10:28:57 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","827","Попытка авторизации с неверным паролем (400)","api","Wed Dec 18 10:28:56 GMT 2024","passed","Wed Dec 18 10:28:57 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","2814","Переход по кнопке ""Войти""","ui","Wed Dec 18 10:28:37 GMT 2024","passed","Wed Dec 18 10:28:40 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","2657","Нельзя добавить желание без названия","ui","Wed Dec 18 10:28:52 GMT 2024","passed","Wed Dec 18 10:28:54 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
