"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","133","Авторизация с некорректным паролем @UI","ui","Tue Dec 17 14:03:34 GMT 2024","failed","Tue Dec 17 14:03:34 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","129","Авторизация с валидными почтой и паролем @UI","ui","Tue Dec 17 14:03:31 GMT 2024","failed","Tue Dec 17 14:03:31 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","134","Пользователь может добавить желание только с названием @UI","ui","Tue Dec 17 14:03:39 GMT 2024","failed","Tue Dec 17 14:03:40 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","130","Нельзя добавить желание без названия @UI","ui","Tue Dec 17 14:03:42 GMT 2024","failed","Tue Dec 17 14:03:42 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","130","Пользователь может добавить желание @UI","ui","Tue Dec 17 14:03:37 GMT 2024","failed","Tue Dec 17 14:03:37 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
