"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7968","Пользователь может добавить желание @UI","ui","Tue Dec 17 15:15:22 GMT 2024","passed","Tue Dec 17 15:15:30 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","4301","Пользователь может добавить желание только с названием @UI","ui","Tue Dec 17 15:15:30 GMT 2024","passed","Tue Dec 17 15:15:35 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","3812","Нельзя добавить желание без названия @UI","ui","Tue Dec 17 15:15:35 GMT 2024","passed","Tue Dec 17 15:15:39 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","3551","Авторизация с некорректным паролем @UI","ui","Tue Dec 17 15:15:18 GMT 2024","passed","Tue Dec 17 15:15:22 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","5778","Авторизация с валидными почтой и паролем @UI","ui","Tue Dec 17 15:15:12 GMT 2024","passed","Tue Dec 17 15:15:18 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
