"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4104","Неуспешная авторизация с некорректной почтой","ui","Tue Dec 17 20:43:17 GMT 2024","passed","Tue Dec 17 20:43:21 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","4032","Нельзя добавить желание без названия","ui","Tue Dec 17 20:43:42 GMT 2024","passed","Tue Dec 17 20:43:46 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","5858","Авторизация с валидными почтой и паролем","ui","Tue Dec 17 20:43:06 GMT 2024","passed","Tue Dec 17 20:43:12 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","5240","Пользователь может добавить желание только с названием","ui","Tue Dec 17 20:43:36 GMT 2024","passed","Tue Dec 17 20:43:41 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","298","Введен username вместо email-a (400)","api","Tue Dec 17 20:43:49 GMT 2024","passed","Tue Dec 17 20:43:49 GMT 2024","/auth/login","api/login.spec.js","",""
"","3209","Переход по кнопке ""Войти""","ui","Tue Dec 17 20:43:21 GMT 2024","passed","Tue Dec 17 20:43:24 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","248","Отсутствует payload с credentials (400)","api","Tue Dec 17 20:43:49 GMT 2024","passed","Tue Dec 17 20:43:50 GMT 2024","/auth/login","api/login.spec.js","",""
"","3507","Редирект со страницы ""Мои желания""","ui","Tue Dec 17 20:43:25 GMT 2024","passed","Tue Dec 17 20:43:28 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","897","Введен неверный пароль (400)","api","Tue Dec 17 20:43:48 GMT 2024","passed","Tue Dec 17 20:43:49 GMT 2024","/auth/login","api/login.spec.js","",""
"","337","Введен неверный email (400)","api","Tue Dec 17 20:43:48 GMT 2024","passed","Tue Dec 17 20:43:48 GMT 2024","/auth/login","api/login.spec.js","",""
"","1070","Успешный логин (201)","api","Tue Dec 17 20:43:47 GMT 2024","passed","Tue Dec 17 20:43:48 GMT 2024","/auth/login","api/login.spec.js","",""
"","4312","Неуспешная авторизация с некорректным паролем","ui","Tue Dec 17 20:43:12 GMT 2024","passed","Tue Dec 17 20:43:17 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","7446","Пользователь может добавить желание","ui","Tue Dec 17 20:43:28 GMT 2024","passed","Tue Dec 17 20:43:36 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
