"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7427","Пользователь может добавить желание @UI","ui","Tue Dec 17 15:49:28 GMT 2024","passed","Tue Dec 17 15:49:36 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","3356","Переход по кнопке ""Войти"" @UI","ui","Tue Dec 17 15:49:21 GMT 2024","passed","Tue Dec 17 15:49:24 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","3945","Нельзя добавить желание без названия @UI","ui","Tue Dec 17 15:49:41 GMT 2024","passed","Tue Dec 17 15:49:44 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","3405","Редирект со страницы ""Мои желания"" @UI","ui","Tue Dec 17 15:49:25 GMT 2024","passed","Tue Dec 17 15:49:28 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","5529","Неуспешная авторизация с некорректным паролем @UI","ui","Tue Dec 17 15:49:11 GMT 2024","passed","Tue Dec 17 15:49:16 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","4276","Пользователь может добавить желание только с названием @UI","ui","Tue Dec 17 15:49:36 GMT 2024","passed","Tue Dec 17 15:49:40 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","5278","Авторизация с валидными почтой и паролем @UI","ui","Tue Dec 17 15:49:05 GMT 2024","passed","Tue Dec 17 15:49:10 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","3929","Неуспешная авторизация с некорректной почтой @UI","ui","Tue Dec 17 15:49:17 GMT 2024","passed","Tue Dec 17 15:49:21 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
