"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3325","Неуспешная авторизация с некорректным паролем","ui","Wed Dec 18 10:34:15 GMT 2024","passed","Wed Dec 18 10:34:18 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","220","Попытка авторизации с username вместо email-a (400)","api","Wed Dec 18 10:34:38 GMT 2024","passed","Wed Dec 18 10:34:39 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","4678","Пользователь может добавить желание","ui","Wed Dec 18 10:34:26 GMT 2024","passed","Wed Dec 18 10:34:30 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","1065","Успешная авторизация с валидными credentials (201)","api","Wed Dec 18 10:34:36 GMT 2024","passed","Wed Dec 18 10:34:37 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","2039","Переход по кнопке ""Войти""","ui","Wed Dec 18 10:34:21 GMT 2024","passed","Wed Dec 18 10:34:23 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","2873","Неуспешная авторизация с некорректной почтой","ui","Wed Dec 18 10:34:18 GMT 2024","passed","Wed Dec 18 10:34:21 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","2225","Редирект со страницы ""Мои желания""","ui","Wed Dec 18 10:34:23 GMT 2024","passed","Wed Dec 18 10:34:26 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","812","Попытка авторизации с неверным паролем (400)","api","Wed Dec 18 10:34:37 GMT 2024","passed","Wed Dec 18 10:34:38 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","4207","Авторизация с валидными почтой и паролем","ui","Wed Dec 18 10:34:11 GMT 2024","passed","Wed Dec 18 10:34:15 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","263","Попытка авторизации с неверным email (400)","api","Wed Dec 18 10:34:37 GMT 2024","passed","Wed Dec 18 10:34:37 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","2178","Нельзя добавить желание без названия","ui","Wed Dec 18 10:34:33 GMT 2024","passed","Wed Dec 18 10:34:35 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","173","Попытка авторизации без payload с credentials (400)","api","Wed Dec 18 10:34:39 GMT 2024","passed","Wed Dec 18 10:34:39 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","2914","Пользователь может добавить желание только с названием","ui","Wed Dec 18 10:34:30 GMT 2024","passed","Wed Dec 18 10:34:33 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
