"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","880","Введен неверный пароль (400)","api","Tue Dec 17 20:53:40 GMT 2024","passed","Tue Dec 17 20:53:40 GMT 2024","/auth/login","api/login.spec.js","",""
"","3711","Неуспешная авторизация с некорректной почтой","ui","Tue Dec 17 20:53:15 GMT 2024","passed","Tue Dec 17 20:53:19 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","3359","Редирект со страницы ""Мои желания""","ui","Tue Dec 17 20:53:22 GMT 2024","passed","Tue Dec 17 20:53:26 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","3803","Пользователь может добавить желание только с названием","ui","Tue Dec 17 20:53:31 GMT 2024","passed","Tue Dec 17 20:53:34 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","301","Введен username вместо email-a (400)","api","Tue Dec 17 20:53:40 GMT 2024","passed","Tue Dec 17 20:53:41 GMT 2024","/auth/login","api/login.spec.js","",""
"","5017","Пользователь может добавить желание","ui","Tue Dec 17 20:53:26 GMT 2024","passed","Tue Dec 17 20:53:31 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","5321","Авторизация с валидными почтой и паролем","ui","Tue Dec 17 20:53:05 GMT 2024","passed","Tue Dec 17 20:53:10 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","1063","Успешный логин (201)","api","Tue Dec 17 20:53:38 GMT 2024","passed","Tue Dec 17 20:53:39 GMT 2024","/auth/login","api/login.spec.js","",""
"","4899","Неуспешная авторизация с некорректным паролем","ui","Tue Dec 17 20:53:10 GMT 2024","passed","Tue Dec 17 20:53:15 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","3286","Переход по кнопке ""Войти""","ui","Tue Dec 17 20:53:19 GMT 2024","passed","Tue Dec 17 20:53:22 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","3041","Нельзя добавить желание без названия","ui","Tue Dec 17 20:53:34 GMT 2024","passed","Tue Dec 17 20:53:37 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","248","Отсутствует payload с credentials (400)","api","Tue Dec 17 20:53:41 GMT 2024","passed","Tue Dec 17 20:53:41 GMT 2024","/auth/login","api/login.spec.js","",""
"","364","Введен неверный email (400)","api","Tue Dec 17 20:53:39 GMT 2024","passed","Tue Dec 17 20:53:40 GMT 2024","/auth/login","api/login.spec.js","",""
