"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2804","Переход по кнопке ""Войти""","ui","Tue Dec 17 20:47:22 GMT 2024","passed","Tue Dec 17 20:47:25 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","3274","Редирект со страницы ""Мои желания""","ui","Tue Dec 17 20:47:25 GMT 2024","passed","Tue Dec 17 20:47:28 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","3746","Неуспешная авторизация с некорректной почтой","ui","Tue Dec 17 20:47:18 GMT 2024","passed","Tue Dec 17 20:47:22 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","307","Введен неверный email (400)","api","Tue Dec 17 20:47:42 GMT 2024","passed","Tue Dec 17 20:47:42 GMT 2024","/auth/login","api/login.spec.js","",""
"","977","Успешный логин (201)","api","Tue Dec 17 20:47:41 GMT 2024","passed","Tue Dec 17 20:47:42 GMT 2024","/auth/login","api/login.spec.js","",""
"","4946","Пользователь может добавить желание","ui","Tue Dec 17 20:47:28 GMT 2024","passed","Tue Dec 17 20:47:33 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","3162","Нельзя добавить желание без названия","ui","Tue Dec 17 20:47:37 GMT 2024","passed","Tue Dec 17 20:47:40 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","4386","Неуспешная авторизация с некорректным паролем","ui","Tue Dec 17 20:47:14 GMT 2024","passed","Tue Dec 17 20:47:18 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","953","Введен неверный пароль (400)","api","Tue Dec 17 20:47:42 GMT 2024","passed","Tue Dec 17 20:47:43 GMT 2024","/auth/login","api/login.spec.js","",""
"","220","Отсутствует payload с credentials (400)","api","Tue Dec 17 20:47:44 GMT 2024","passed","Tue Dec 17 20:47:44 GMT 2024","/auth/login","api/login.spec.js","",""
"","4346","Пользователь может добавить желание только с названием","ui","Tue Dec 17 20:47:33 GMT 2024","passed","Tue Dec 17 20:47:37 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","276","Введен username вместо email-a (400)","api","Tue Dec 17 20:47:43 GMT 2024","passed","Tue Dec 17 20:47:44 GMT 2024","/auth/login","api/login.spec.js","",""
"","4893","Авторизация с валидными почтой и паролем","ui","Tue Dec 17 20:47:09 GMT 2024","passed","Tue Dec 17 20:47:13 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
