"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4444","Авторизация с валидными почтой и паролем @UI","ui","Tue Dec 17 15:54:49 GMT 2024","passed","Tue Dec 17 15:54:54 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","5323","Пользователь может добавить желание @UI","ui","Tue Dec 17 15:55:08 GMT 2024","passed","Tue Dec 17 15:55:13 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","2865","Нельзя добавить желание без названия @UI","ui","Tue Dec 17 15:55:17 GMT 2024","passed","Tue Dec 17 15:55:20 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","2454","Переход по кнопке ""Войти"" @UI","ui","Tue Dec 17 15:55:02 GMT 2024","passed","Tue Dec 17 15:55:04 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","3838","Пользователь может добавить желание только с названием @UI","ui","Tue Dec 17 15:55:13 GMT 2024","passed","Tue Dec 17 15:55:17 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","3540","Неуспешная авторизация с некорректной почтой @UI","ui","Tue Dec 17 15:54:58 GMT 2024","passed","Tue Dec 17 15:55:02 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","2660","Редирект со страницы ""Мои желания"" @UI","ui","Tue Dec 17 15:55:05 GMT 2024","passed","Tue Dec 17 15:55:07 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","3913","Неуспешная авторизация с некорректным паролем @UI","ui","Tue Dec 17 15:54:54 GMT 2024","passed","Tue Dec 17 15:54:58 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
