"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2049","Переход по кнопке ""Войти""","ui","Wed Dec 18 10:19:26 GMT 2024","passed","Wed Dec 18 10:19:28 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","988","Попытка авторизации с неверным паролем (400)","api","Wed Dec 18 10:19:42 GMT 2024","passed","Wed Dec 18 10:19:43 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","2959","Неуспешная авторизация с некорректной почтой","ui","Wed Dec 18 10:19:23 GMT 2024","passed","Wed Dec 18 10:19:26 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","226","Попытка авторизации с username вместо email-a (400)","api","Wed Dec 18 10:19:43 GMT 2024","passed","Wed Dec 18 10:19:44 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","4756","Пользователь может добавить желание","ui","Wed Dec 18 10:19:30 GMT 2024","passed","Wed Dec 18 10:19:35 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","3405","Неуспешная авторизация с некорректным паролем","ui","Wed Dec 18 10:19:20 GMT 2024","passed","Wed Dec 18 10:19:23 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","263","Попытка авторизации с неверным email (400)","api","Wed Dec 18 10:19:42 GMT 2024","passed","Wed Dec 18 10:19:42 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","3767","Авторизация с валидными почтой и паролем","ui","Wed Dec 18 10:19:16 GMT 2024","passed","Wed Dec 18 10:19:20 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","1999","Редирект со страницы ""Мои желания""","ui","Wed Dec 18 10:19:28 GMT 2024","passed","Wed Dec 18 10:19:30 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","1296","Успешная авторизация с валидными credentials (201)","api","Wed Dec 18 10:19:41 GMT 2024","passed","Wed Dec 18 10:19:42 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","3007","Пользователь может добавить желание только с названием","ui","Wed Dec 18 10:19:35 GMT 2024","passed","Wed Dec 18 10:19:38 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","2187","Нельзя добавить желание без названия","ui","Wed Dec 18 10:19:38 GMT 2024","passed","Wed Dec 18 10:19:40 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","177","Попытка авторизации без payload с credentials (400)","api","Wed Dec 18 10:19:44 GMT 2024","passed","Wed Dec 18 10:19:44 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
