"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","234","Попытка авторизации с username вместо email-a (400)","api","Wed Dec 18 10:21:13 GMT 2024","passed","Wed Dec 18 10:21:13 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","267","Попытка авторизации с неверным email (400)","api","Wed Dec 18 10:21:12 GMT 2024","passed","Wed Dec 18 10:21:12 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","3712","Авторизация с валидными почтой и паролем","ui","Wed Dec 18 10:20:46 GMT 2024","passed","Wed Dec 18 10:20:49 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","177","Попытка авторизации без payload с credentials (400)","api","Wed Dec 18 10:21:13 GMT 2024","passed","Wed Dec 18 10:21:13 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","2746","Неуспешная авторизация с некорректной почтой","ui","Wed Dec 18 10:20:53 GMT 2024","passed","Wed Dec 18 10:20:55 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","3866","Пользователь может добавить желание только с названием","ui","Wed Dec 18 10:21:04 GMT 2024","passed","Wed Dec 18 10:21:08 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","3274","Неуспешная авторизация с некорректным паролем","ui","Wed Dec 18 10:20:49 GMT 2024","passed","Wed Dec 18 10:20:53 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","967","Успешная авторизация с валидными credentials (201)","api","Wed Dec 18 10:21:11 GMT 2024","passed","Wed Dec 18 10:21:12 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","4080","Пользователь может добавить желание","ui","Wed Dec 18 10:21:00 GMT 2024","passed","Wed Dec 18 10:21:04 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","856","Попытка авторизации с неверным паролем (400)","api","Wed Dec 18 10:21:12 GMT 2024","passed","Wed Dec 18 10:21:13 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","2338","Нельзя добавить желание без названия","ui","Wed Dec 18 10:21:08 GMT 2024","passed","Wed Dec 18 10:21:10 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","2138","Переход по кнопке ""Войти""","ui","Wed Dec 18 10:20:55 GMT 2024","passed","Wed Dec 18 10:20:58 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","2302","Редирект со страницы ""Мои желания""","ui","Wed Dec 18 10:20:58 GMT 2024","passed","Wed Dec 18 10:21:00 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
