"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7008","Пользователь может добавить желание @UI","ui","Tue Dec 17 15:03:42 GMT 2024","passed","Tue Dec 17 15:03:49 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","3190","Авторизация с некорректным паролем @UI","ui","Tue Dec 17 15:03:38 GMT 2024","passed","Tue Dec 17 15:03:41 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","3856","Нельзя добавить желание без названия @UI","ui","Tue Dec 17 15:03:53 GMT 2024","passed","Tue Dec 17 15:03:57 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","5204","Авторизация с валидными почтой и паролем @UI","ui","Tue Dec 17 15:03:33 GMT 2024","passed","Tue Dec 17 15:03:38 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","3717","Пользователь может добавить желание только с названием @UI","ui","Tue Dec 17 15:03:49 GMT 2024","passed","Tue Dec 17 15:03:53 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
